arrival,到着
component,部品
familiar,よく知っている、おなじみの
enjoyable,楽しい
ideal,理想的な
existing,従来の、既存の
landscaping,造園
alike,同様に／よく似た
occasion,特別な行事、（何かが起こる）時、好機
connection,接続、つながり、関連、乗り継ぎ
standard,基準／標準の
eager,~したがる、熱望する
background,経歴、背景
fairly,かなり
guided,ガイド付きの
absolutely,完全に、間違いなく、まったく
advanced,進んだ、上級の、高度な
atmosphere,雰囲気
confident,確信している、自信がある
calculate,計算する
initial,初めの、当初の
contrast,対照、はっきりした違い／対照的である
separate,分かれた、別々の／分ける
monitor,監視する／（コンピュータの）モニター
environment,環境
occasionally,時々
various,さまざまな
serious,重大な、真剣な、重要な
brief,短い、短時間の
strength,強さ、強度、（液体等の）重さ
full-time,常勤の
equally,同じように、均等に
overall,全体の／全体として
informal,非公式の、カジュアルな
complex,複合施設、集合住宅／複雑な
renowned,名高い、著名な
delighted,とても喜んでいる
depend on ~,~次第である、~に頼る
honor,称える、（契約等を）守る／名誉
sudden,急な、突然の
properly,ちゃんと、適切に
look forward to ~,~を楽しみにする
electronic,電子の、電子的な
request,依頼／~を依頼する
preparation,準備、用意
access,~にアクセスする／アクセス
duty,任務、職務、関税
typical,典型的な
willing,~することを嫌がらない、~する気がある
security,安全、無事
worth,価値がある
exception,例外
overnight,一晩の、翌日配送の／一晩
acceptable,許容の、受け入れることのできる
particularly,特に
in advance,事前に
aspect,面、局面
own,~を所有する／自分の
involved,関わった
worldwide,世界的な／世界中で
scholarship,奨学金
economical,経済的な、節約の
shortly,じきに、まもなく
case,状況、場合
automobile,自動車の／自動車
favorite,お気に入りの、大好きな
certainly,確かに
staff,スタッフ
possibly,ひょっとすると、もしかすると
judge,判断する、裁く、評価する／裁判官
sufficient,十分な、満足な
market,市場／~を市場で売る
practical,実用的な、実践的な
rise,増える、上昇する
sales representaive,販売員、営業担当者
concern,心配事、懸念事項
medication,薬、医薬
salary,給料
fulfill,満たす、果たす
in the event of ~,万一~の場合には
reflection,熟考、反射
weigh,~の重さを量る、~の重さがある
foundation,土台、基礎
development,開発、発達、発展
governor,知事
quite,かなり、すっかり
practice,習わし、開業、実施
strict,（人や規制が）厳しい
responsibility,（人や物に対する）責任
contemporary,現代の、同時代の
impressive,印象的な、素晴らしい
complimentary,無料の、称賛する
coworker,（仕事の）同僚
defeat,（敵）を負かす／敗北、負け
excessive,過度の、度を越えた
establishment,設立（制定）すること、組織
favorable,好都合の、好意的な
similar,類似した
label,~にラベル［レッテル］を貼る／ラベル
