premium,保険料
accrued,未収の
tutorial,指導書、個別指導
commensurate,釣り合った、比例した、見合った
discard,捨てる
pointless,無意味な
overwhelmingly,圧倒的に
anonymous,匿名の
novice,初心者
stringent,厳しい
anecdote,逸話
integral,重要な
fertilizer,肥料
admirable,称賛に値する
proofread,校正する
mandatory,義務の、強制の
incorporate,取り入れる、組み込む
cozy,居心地のよい
surplus,余分な／余り
exempt,免除された
aspiring,~志望の、~になろうとする
internal,内部の
assorted,詰め合わせの
obligatory,義務的な
interoffice,社内の、オフィス間の
supplementary,付加的な
mutually,互いに、相互に
obsolete,古式の
periodically,定期的に
prohibitive,高額な、法外な
obstruct,（通路や視界を）ふさぐ、さえぎる
sluggish,停滞した、不景気な、のろい
fierce,熾烈な、荒々しい
stagnant,停滞気味の
solely,唯一、一人で、単独で
insufficient,不十分な
devise,考案する、立案する
negligent,無頓着な
foster,促進する、養う
exclusive,限定の、独占的な
insight,洞察、洞察力
resounding,際だった
hypothesis,仮説
correspondingly,それに応じて
predecessor,前任者、前機種
tentatively,仮に、試験的に
adoption,採用
rightfully,正しく、正当に
heritage,伝統、遺産
emphatically,断固として、きっぱりと
accelerate,加速させる、拍車をかける
customarily,習慣的に
outage,停止
thereby,それにより
condiment,調味料
incidentally,たまたま、ついでに言えば
appraisal,査定、評価
comparatively,比較的
detour,迂回路
inadvertently,不注意に、うっかり
distraction,気を散らすもの、注意の妨げになるもの
eloquently,雄弁に
newlywed,新婚者
contractually,契約により
association,協会
literally,文字通り
deduct,控除する
thoroughly,徹底的に
delegation,代表団、委譲
in keeping with,~に沿って、準拠して
synthetic,合成の
in accordance with,~に従って、~と一致させて
proceeds,収益
amid,~に囲まれて
query,質問、疑念
in light of,~を考慮すると
patiently,根気よく、我慢強く
pending,~を待つ間、~まで
resumption,再開、回復
thoughtfully,深く考えて、思慮深く、配慮して
ratio,比率
abridged,要約された、短縮された
turnover,離職率
carpool,相乗りする／相乗り
qualification,資格
compatible,相性が良い、互換性がある、共存できる
dietary,食事の
explicit,明白な、明確な
objection,反対
keenly,痛烈に、鋭く
persuasive,説得力のある
plaque,盾
masterpiece,名作
centerpiece,中心に置かれる装備品、中心になるもの
outing,外出、ピクニック
privileged,光栄な
vessel,船
recur,再発する
respondent,回答者
skeptical,懐疑的な、疑い深い
quota,販売ノルマ
artifact,（歴史的・文化的価値のある）工芸品、手工品
conjecture,推測、憶測
breathtaking,息をのむほどの、驚くべき
subsidy,補助金、助成金
cubicle,個別の作業スペース
innovation,革新
perishable,傷みやすい、腐りやすい
sequence,連続、順番
avid,熱心な、熱烈な
affiliation,提携
expedite,早める、促進させる
keynote,基調となる
vicinity,近所、近辺
lasting,耐久性のある、長続きする
affiliated,提携した、関連のある
feasible,実現可能な
definitive,決定版の、最終的な
insightful,洞察的な
demolish,（建物を）解体する、取り壊す
duplicate,複製の、二重の
installment,分割払いの1回分
provisional,仮の、暫定的な
redeemable,（現金や商品と）交換可能な
preparatory,予備的な
insulation,（音、熱、電気等を）防ぐこと
ethical,論理的な
deteriorate,悪化する
consistant,一致した、一貫性のある
bearer,（小切手やクーポン等の）持参人
nutritious,栄養豊かな
unprecedented,前例のない
hazardous,危険な
botanical,植物の、植物学の
devoted,献身的な
deliberation,熟考
sensitive,機密の
discreetly,分別を持って、思慮深く
lucrative,儲かる、利益の上がる
entail,必要とする、~を伴う
nominal,僅かな
fluctuation,変動
interpersonal,対人の、人と人との間の
foremost,最高の、トップの
widespread,普及した、広く行き渡った
imperative,急を要する、非常に重要な
misleading,誤解を招く
meticulously,細心の注意を払って、きちょう面に
inaugural,就任の、最初の
outreach,福祉活動、支援活動
affluent,裕福な
alleviate,和らげる、軽減する
high-profile,人目を引く
exemplary,模範的な
versatile,多才な
gala,祝祭、祭り
up-to-date,最新の
mural,壁面
intact,損傷のない
proprietor,オーナー、所有者
congested,混雑した
testimonial,推薦文、推薦の声
conditional,条件とする
fraud,詐欺
fluorescent,蛍光色の
vigorous,活気のある、精力的な
flawless,欠点のない
retreat,研修旅行
prosperous,繁栄している、裕福な
forge,築く、構築する
hostile,敵対的な
impending,間近に迫った、差し迫った
poised,態勢が整った
objectionable,不快な、気に障る
ambiguous,あいまいな
repave,再舗装する
conclusive,決定的な
shortcoming,欠点、短所
probationary,試用期間中の
memorabilia,記念品、思い出の品
successive,連続する
jeopardy,危機、危険
serial,連続する
deviate,それる
repetitive,反復的な
forfeit,没収される、剥奪される／罰金、犠牲
transparent,透明な
bolster,強化する、補強する、鼓舞する
applicable,適用される、あてはまる
optimal,ベストの、最適な
skilled,熟達した
purveyor,供給業者、販売業者
sleek,流線型の
raffle,福引
stranded,立ち往生した
ventilation,換気、風通し
classified,分類された
unwavering,ゆるがぬ、断固とした
sturdy,頑丈な、丈夫な
exponentially,加速度的に、指数関数的に
